id,theme,theme_bucket,proverb_translit,literal_en,commentary
177,,,"Md beCi gdne-vdix, bdp pOt kardti t Worn.","Mother and daughter for singers, and father and eon for weddii prooeeaion 1",A poor maa'a marriage.
178,,,"Md bdtiyok med lofdi had, logod ns jfdnd hair",Mother and daughter quarrel and people think them enemies I,Lover's quarrab: kiss and make up.
179,,,"Moyjah du hanchau purl, dee aehchhd, bhakd",Magsrah is a land of gold with a vile speech I,A skit st the rough dialects of IkdiAi.
180,,,Maid ne kyd us kl khlr khal hai f,Have I eaten any of his rice and milk 1,Am 1 iiiKler any obligation to him I
181,,,Man ke taduod ae bhiUc nahid mita.,Hunger i.'i not appeased by imaginary sweets.,The belly is not filled with fair woida
182,,,Mattd kgd na kartd f,What will not the dying man do f,The desperate mau all things can.
183,,,"Mdyd kd kyd j'd, khnl khdnd kanibaf or hd I!",What is the iwe of wealth heaped up l-y living on oil cakes and wcaringa bbiiikei 1,Said of a micter wlio uioruti-. d hiuiaL-'i' i-- bo.ail mouey.)!
184,,,MdXdge emr eo rahedge /,When we die we sleep well 1,The long sleep.
185,,,"Mu/l kl ddoat meh /aq rol hi joehi hat,",A feast of bread which costa nothing is as,good as) meat.
186,,,Man kgon 1 Sake na dyd. Worn.,Why did she die? For want of breath 1,A misfortune that cannot be avoided.
187,,,"MMh k/tdHf Mkh /ajdif,","'i'he mouth eats, and the eyes are kept down.","To placa oncaelf under au obligation. MMh ki m’thi, hdih kljhatl. Worn, A sweet tongue and a false hand. To excite falee hopee."
188,,,Mwtde 1(0 baih-har fote hqiht avr ro/tgdf ho,They mourn for the dead sitting and for food,"They take their ease over mourning for the dei, but are active enough in mourning over loee of means."
189,,,Tha cat’s paw.),1 «eii’\ dauQS bmvse the floor is uneven.,Iban the devil couldn't swiin he laid the fsoH on the water. Bad srarkmen quarrel with tbear took.
190,,,Sd/SoM wOdJi to gkOdgat fyd f Worn.,"When you come out to dance, why be veiled?","Danomg woiiion in India are of course on ▼eilad. Moral: dou't be above jour work Jdehi dn jfd nd, “ dngan h&kkrtf Jtdddftnd yet nd, oli IHkre Not knowing bow to dance (he says), ' the"
191,,,Nadi kindnrdkkfdjahtah hoe bindi.,Trees on the river bausk are apt to fkll.,Applied to thaso who foUow a dangsrons Utadl TMdjdnd emt paydas dud / To go Ao a river aiud eome back thiraty! Uadi ndo taiog. The union of boat and river.
192,,,Nm H hi Odhir.,Evetr body ic a lord at a iMrher'a wedding.,"fUboTt a noUemm, a lord; but need also oe an hemrifie title towards barbers (adi):"
193,,,"ATaf ndpoit, fmapr JMT jAon /","A young snake, with ita hood on its tail I",Applied to eon who fouKehly ongagea in a biwineaB which ha doee nut understand: the allnsion i» to tho oobea whiolt has a hood on ita head.
194,,,A'u! fKiy'iM aur fiddt li weAnml /,A now liarber with bamboo nail-sctasors f,Tlieee sbovld baMstoal or irsa. AppUod to A Irsp in tho dork.
195,,,Nasha ns ne piyd; Jehumdr tnmhed eharhd /,He drunk the wine; why are you drunk t,Staid to A great man's relatives when they give tbemaelvea aira.
196,,,"NMin sikhdve dJi ho, hi bard 4orhe dlh /",She is teaching her grandmother that twelve times one and a half makes eight!,"Go end teach your grandmother to sock Naud dekh le, hddhha bdr. Bhoj. armpit. On seeing a barber he findig hanr under his! Naud he ghar ehori bhel, fin edydgd bdr gel. £."
197,,,Kaukar ko ehdkart manfai ho utdrd t,A servant to a servant is a shed to a hut 1,The one is as absurd as the other.
198,,,Ufott mahXne mdkepef meA kaise rahd hoga /,Uow came you to live in your molher'e,Said to a misohisvoua boy.
199,,,"Hagd cUU, perd par aldo.",The unversed ascetic squats on his haunches.,"Which will soon tire him out: the atu$ sit with their hands on a bairdgam, s klud uf wooden support, whioh euables them to re main in one position for a very long time."
200,,,"NikH hata j ee, ehali khataq med.",Out of the mouth ie throughout the world.,The eat out of tho bag.
201,,,"PoeMvd ekaUy khea pkale, Agric.. thrives.","When the west wind bUiws, the harvest","Whan the wind's in the waat, the waathar'a at its beat."
202,,,Padmanl Chamdrod mrd kott hai.,Beauty will occur even amougst the Chamirs.,"Padmanl ia tha taoat baantiful of tha four claaaea into which womankind ia dividad ac eordiug to fenturea and coniplaaioh. Cba mtra are a low ciuita of bluSk ooniplaxion aud ugly faatiiraa oa a rule, ao a podManl amougat them ia a rara avia."
203,,,"Padni dil na ptihya Idgal, £.",It is uo market without the shameless weiioh.,Proatitutea aiu always to he found at mar kata iu ludia.
204,,,Pd'dsse med ae kyod. nikle parte ho f,Why do you coi«oVt of your breeches t,i. e. why do you' fret and fume so much?
205,,,"Pddeha mtf, pachdee ihSkur,",For five your friend and for fifty your ruler.,"For five rupees do not quarrel with your friend, nor for fifty with your ruler."
206,,,Pont pl-kar nOt AhU Aof,First drink his water and then ask his oeete I,In India tiw tulM of eaata de not lUow a man of ona aasto to drink wator from tbo hand of a man of aaothor oaate.
207,,,Paplpoa he mdrne ho pOp mahd bati.,It is their own sin that chiefly slays sinnets.,He is hie own greeieek enemy.
208,,,"Parhl na, qaod kl.","Who does not know, cannot fail to pray.",QarS Jmmd ia the sin of failing to pray at the stated times.
209,,,P§Aa kahlimttdkJo na fora ao /diMfa’ff.Mabt,"The lore of God on those who work, sad the emae of God mi those who won’t.",TbodorUfinda aomo reiaohiof atUl for Idle handa to do.
210,,,PM eHhgh-kar rahUkof,Do you lire on the scent of flowers f,Skid to a amall aater.
211,,,"PhOAke ke na pkdkkc kc, (ddy wfAd-he idpc kc,","Shell neither blow nor stir the fire, but shell warm her legs at it",Said of the aalfrAkmd idia
212,,,"Pichhti roil khde, ptehhll matdi/. Worn. Supersti",Who eats the last cake will be a fooL,"It ia unlucky among women to aat the last oaka, which ia aeoordiny alwaya thrown ' to doga."
213,,,Fir dp hi darmdhdah; tka/dtU hU hi haredgo t,"The saint is himself in distress, for whom shall he mfihe intercession I","He eaeed otheis, himself he eaaaoS saTO. Hethewxeii. 42."
214,,,"Pdf ttdf sgOna, dM ohao hirdas, Hin. Worn.","When the aon grows up, discomforts depart,",f. a be ia then able to support hia parents.
215,,,"Pdf mdii paid. Mefdr tm M, K. Worn.",She went to get aeon and toand a hueband.,A out at women going to Afire to proonie •• a vary oommonly done.
216,,,Qarmdr dUidA par tavdr.,The creditor sits upon the debtor's breast.,•When be refuaea Um hia money.
217,,,"Qtfil mtbaii weed ndrd,",The Qurs pestle has a string ( for drawers).,"Ac., he can make othera do as he likM howevar improper his ordms may be; native ■ view of idl •government."
218,,,"Rdthegd pdn, birdehegi medkdt.",If with'love it is betel: with hate it is henna.,Better a dinner of herbs where love ia than a stsllsid ox and hatred therewith. Pin is a valuable and sieAAdl a very cheap article.
219,,,"Rdjd lk he(t, harmoh hi hell /","A princess born, her fate forlorn I",Said of a mwalliance.
220,,,"Rdjhdd, hahfd hddid, donohhardh.","For the king • second con, and for the goat","The priaeea flt for the duoaob sad the, BAJ 191"
221,,,Depend upon this motto: That' nine iu cash,are better than thirteen on credit,A bird in hand ia wor n two in tho buah.
222,,,TuUi hired bdg ke elchat hi kumkidid.,Who rely on God can thrive on a mountain.,"I have seen) saith Tulsl Dis, that"
223,,,Bdr kd Oerd hai /,My hope is in God t,Said by thechildlew.
224,,,"Rddid gayd oagad ho, dp ho Ido yd bhdt ho t",If a widower negociate a marriage will it be for himself or his brother 1,He will be sure to do it fpr hlmaeU. eo don't send him.
225,,,"BdAd rove, kudri rooe, M Ugft aot khaaml","Widows weep, and virgins weep, and woman with seven husbands weep with them 1",The force of aympathy.
226,,,Rdnl ko kauH hake dgd fkak f Worn.,Who will tell a qneen to eover her breuts t,Who oau oounsal a gresS msa 1
227,,,"Sdt ged, bdt gal.",Tho night waa lost and ao was the object,The meaning k that tho night wua paaaad in iniidaaa eonaolt'an: anpliod to iU ■ueotai in any mnttar.
228,,,"Rit na tatvddtd, merd Idld navddtd / Worn.","Nor seventh month rite nor feast, and yet he is her darling grandson 1","The tatvdhtd is a ceremony performed by women iu the seventh month sftcr the birth of a first-born son, Sspecially if long wished for."
