id,theme,theme_bucket,proverb_translit,literal_en,commentary
32,Animals,animals,Udya puravela pana padya puravata nahi,The ffitl bidlock will do lut the one that liea dawn will not do.,There b more hope of a rash than of an indolent man.
33,Animals,animals,Ekane gaya tnarali mhanuna dusaryane vasarii,maru naye Because one killed a cow anoiier ihould not kill a calf.,
34,Animals,animals,Kutryatse jine Hoi phajltlla kaya tme,In a doff's life there ia no lack (f teretciednets.,Applied to those who lead
35,Animals,animals,Khata gaya kbatakatse gban ban,A bad cow i» beat in the house of the butcher. 125 WlJJTJir Khadana gura babu dudha A troublesome beast and much milk.,A rogne is clever at work.
36,Animals,animals,Gadbava otaryat&e ani bajla mbataryaci,A smelter's donkey and an old man's we.,Neither receives mnch attention or happiness. Notice the play on the word bdila. gmzedbyGOOgle
37,Animals,animals,Gaya ghore gotha bhare baila ghore dham mare,"If the eow tnore the eov-iomse will fill, if tie buUoci imore tie matter will die.",SaperstitioD. The latter part implies perhaps that the bollock is weak and will not be able to work and sopport his master.
38,Animals,animals,Gava maya tici seva kaiita zaya,A eow and a mother shotUd be waited upon. 98. 136 lira ITTT ' tW' fipf Wt Rft Gaya maraki asati tici Singe laittba nasatl a eow were given to butUng itt Aomt would net be long.,Ite owner wonld hare cut them.
39,Animals,animals,Gayitse gell mhaStse veil,"Tlie eow on coming in from patfure, the buffalo at tie tet time, i. e. the ipi)lng should be done then. 140 'irat rert 1 Tra'r flri ftra Gaylla vasaratse va. bayakola poratse misa 7 calf it an exeaaefor the cow, and tie child is an eiecusefor tie wife.",It will spare them a beating.
40,Animals,animals,GhodH jeiabaiK manusya sambaJidhi,"A hone hy a martingal, a man hy acquaintance.",They are known in these ways.
41,Animals,animals,Gbodfl maidaDa pudhetea ahe,The horse and the meadow are both before at.,A desired com bination. The hour hae come and also the man' (English). Sometimes simply Ed ghodd 7te maiddna.
42,Animals,animals,Ghode khai bhade,"The horse eats hie earnings, 'The horse is eating his head off' (EnglLsh). 149 7 VilNl faifllfll ftn 1T Ghodyaci pariksa jinavaxuna hota nahi A horse cannot be Judged by the saddle. gmzedbyGOOgle",
43,Animals,animals,Ghodyacya payl yeae ani muhgicya payi zane,"To come witA He legi cfa horte, to go with the leg of an ani.","To come quickly and be very slow to go. RcIatiTes, trouble, illnese,"
44,Animals,animals,Tsukale guru akharasa pahave,"Ifooi for a lott animal on the village grecH, The akhar is the place near a Tillage where the cattle assemble before being driven out to graze.",
45,Animals,animals,Tsori Dele ghode eka baso kimva dona basota,Now the Aorge m stolen let one or let two sit on it.,We do not trouble about a thing which is no longer ours.
46,Animals,animals,Thora gharatse svaoa tyasa deti sarvahi mana,In a great home even the dog is respected. 165 f arra TT! lf TT Dile gaya data kl nSliI A gift-cow — ' Wht/ hat it no teeth? ' ' Don't look a gift-horse in the month ' (EogliehJ.,Sometimes the first word is dharmdd.
47,Animals,animals,Dubhatya gaicya latha goda,Tie kids of a cow in mUk are »weet. 167 fVTT 'p WT Dadha gaitse phula zaitse The milk of a coic: powers of tie Zai tree.,"The best of their kind,"
48,Animals,animals,Fanyaiita mhaisa va vara mola,To settle the price of a iuffolo lehile s/ie is lying wt the water. ' To buy a pig in a poke ' (English). 171 gft flitfl?!%' wratw flitH Fudhila zota tnse mflla zota As th front yoke (gf are«) so the lack. 172 fid: Tit Phire to tsare The animal that moves about will find pasture. ' The hand of the diligent maketh rich.' To this may be added Base to phase (and he who sits will stick). 173 nirnc fiWffT'iTtw H %flft T% sTOff'f BasanSxa asela kharamanta tara tejl tsSle zhara zharita Jf the rider be smart the mare Kill go fast.,A strict master will gmzedbyGOOgle
49,Animals,animals,Bhadyatse ghode ozhyane mele,"Tke iired kor«e died from iig toad. 174. 182 5 as'st ureaEif Bhnkele guru valateani adbalate Tie hungry animal will be foii,ni under tlie house-eaves.","When grazing' is scanty it ia eager to get back into its atall,"
50,Animals,animals,Manzaritee undarasa dharanyatse data vegale va,"titse pillasa dharanyatse data vegale The eat't teeth for holding mice and her teeth for holding her young are different. 249. 187 vnrar rnrra nsB Mazala vasii khayasa kala A bull in rut is death to food, 188 nK ' flrra w # Mazhe ghode zafi dya pudhe My hoTK, and let it go in front. gmzedbyGOOgle 28 MARATHI PROVERBS 189 1H( Slftil ifiB il MU 'HII Mukha pabuna muSahira ani ghoda pabiina kharara Give wages according to a man'l appearance and u»e the curry-comb according to ike hone's condition. 145, 1803.",
51,Animals,animals,Mele mendbaru;isa bhita nahi,A dead sheep does not fear the fire.,Sometimes the first words are
52,Animals,animals,Laiigade tara lafigade aai gavakhan tsaren,"Although lame it will not graze near fie vUlage, Oue with littte ability who attempts great things. 198 qjiinim iflif rerrar gS Lagamala mage daiiyala pudhe It shrinks hack from the bridle but preues fonoaTd for grain.","Slow to work, eager for food."
53,Animals,animals,Yadikarita mbaisa maraiiara,To kill a buffalo in order to obtain a itrip of leather from it hide). 201 WltWT %Z%\ fWT flH% WTWPTT I35 WTTft Yesanila zfaataka dila mhanaje nakala kala lagati If yon Jerk the bullocl's) note-string its nose will feel a sharp pain.,Severe meaBores mnet be taken in some cases.
54,Animals,animals,Siuke tutale bokyatse eadhale,The ttupended net (of victual) broke and the cai teat profited.,Sometimes the two verbs are eitale and banale.
55,Animals,animals,Sokall mend hi tetsa rana dhuiidl,A sheep toill frequent the pasture where it has found fodder.,Grazing is scanty during tnaoy months.
56,Animals,animals,Adakyala hatti pana posayala nabi kti,"An elephant for a penny but no power to feed, it, 214 iri 4t 3t)i3s vnr Adale kolhe mangala gaya A dUtrened JacJtal sing tweetly.",Pretende lie is not in troable.
57,Animals,animals,Aavalacya aigala keantsa dukala,There's a famine of hair on the body oft&e hear I 216 rereT raY fra stni Asvalleya adhi kinka phodavi To cry out before the bear doe».,"People believe that after the bear growls at them it becomes deaf, and that only by shouting out before it can do so is there a chance of frightening it away. In a qnarrcl,"
58,Animals,animals,Undaracya porane lokhandai khelu naye,A TOt'i young one should not play with iron. 219 WT3Prt ftrfifW ifl nx KarakuDatse lihine undaraci khada The clerk'e writing is jU food for a rat. 220 fRfT ■irfti -rfwc jwr Kolba 3.91 buddblla bhala Ajaekal't intellect i» great.,Like the fox he is always represented as being shrewd and cnnning. Digitized ByGOOgle
59,Animals,animals,Ghusa mage pahati tara uri phutuna maratl,the landicote could Bee behind her the would break her heart and die.,Judgments about to fall are mercifnllj hidden.
60,Animals,animals,JyacjiL hUti saea to paradhi,i/e who hat ca-ught the hare is the hunter. ' He plays well Who wins' (English). 229 €f tlnCWT ITWIT Pongara koral uiidira kadhala To excavate a. mountain awJ take out a rat. ' The mocmtaiD was in labour and broagbt fortb a monee.' 230 TfoSBTfrr HTpf g«T 5 TalyaeyS afiene susara nieli Tie crocodile died in the hope offiading a pond. 231 WW?f ftWT?W MflSft Dhanya tethe ghuT nidhana tethe viifavaBi Where there i grain there are handicotet; lehere there it treasure there it a wattut wife. 4. 232 4V1I ns Qi3oi£i TO trara iiflf Mif ¥19b Babuta dekhile tiletale pana cikhalasa n3.hl pabile dole I have teen many forehead-marki but I have never teen etfet in mud.,"Once upon a time a crocodile uid s jackal were frieads. One day the jackal invited the crocodile to dinner, bnt he prepared it up in a tree and sat there calling to hia friend to come np, which of course he oouid not do. To take reenge the crocodile determined to invite the jackaL After naming the time ha said to him"
61,Animals,animals,Makadala dila meva khau ka. theu,"Fruil wfl ffiven to the monkey, he saya) ' Shall I eat it? or tkall I keep it? ' Marava tara hatti va lutave tara bhahdara If you kill, kill an elephant; if you rob, rob a treasury, 238 mooor win 'itBrr h\-4is Malyaci maka va kolhyatse bliaiidana Tie farmer's Indian com and Jackals quarrel about it.",
62,Animals,animals,Muiigi houna sakhara kbavi pana hattI hotina,ISidcade phodu nayeta Setter be an ant and eat sugar than be an elephant and eheto wood.,Lakadlvatsuna makadi vathanisa yeta n&hi Without a stick tie monkey will not be tractable. A beating is very generally held to be the right treatment for inferiors.
63,Animals,animals,Vaghatse Tade vasata naliita,Tiger do not live inflocka. 244 JlooetW qT%?Tft% mTf Sagalyanci pavale hattltse pftvalanta The footprints of all animal) are induded in an elephant'.,"The work, fame, ficc., of sabordinateB are included in their soperior's."
64,Animals,animals,Hattltse data khayatse vegale va dakhavavayatse,vegae An elephant ha one et of teeth for eating another for thoK.,The latter are its tusks. A dissembler.
65,Animals,animals,Hattibarobara baiUitse vSiagole,A bullock yoked with an elephant. 255 vftwT HgnrnvTtnfv% Hattlla anku kevadba pabije How large a goad an elephant requiref t Ad important person is required to reprove an important peiBOD (; BlBDS AKD IhSBOTS.,
66,Animals,animals,Agodara tsara maga tsontsa,Firit the food then the beak.,They were created in this order.
67,Animals,animals,Uiiibara phodQoa keriibare k&dhane,"To open a wild fig atid take out a tand-Jfy. 260 9551 nil'i Wdbl ftHHTC TTflf Utya hatane kaval hILkanfira nS.bi He mil not, tekile eating, drive away a eroK. 'While eatinf ' is literaUy ' vith a hand Boiled by eating.' Unwilling to lose a grain from bis Angers.",
68,Animals,animals,Kida mun khai tara taru salamata zai,1/ insects and ants have food the ship will go safely.,A man will prosper who is liberal to the poor.
69,Animals,animals,KothbadltiSa. khiina tiruka,Money is the murderer of fowl.,The fourth part of an anna is a tirukd.
70,Animals,animals,Eorribadl mell pile daoadana,"The fowl died, her chickens icere scattered. gmzedbyGOOgle",
71,Animals,animals,Gavhasarase kide ragadale zatata,"Insects are crutied with wheat in grinding). 1242. 275 jaoRTT wnn GulS.varaly3, maa Sugar-loving fiies. 'Cupboard love' (English). 399. 276 t'Wprra 'ftiifl Tra Gogalagaya potanta paya A mail with hit feet in his stomach. ' A wolf in sheep's clothing.' Ghettna palanyacja katnanta saaana A falcon, in the work of running avmy with things. 278 ift t qir IFtHt j Gheto tethuna paaa padato guntuDa He takes from there int becomes entangled.",The bee gets honey from the flower but may be caught when the flower closes in the evening. An industrioas man runs some risk.
72,Animals,animals,Faksyanta kau va manaeanta nh&u,"Among birdt a eroie, among men a barber.",Conning. To these is sometimes added Patanla kolka (among auimsU a jackal).
73,Animals,animals,PSlitse tela vintaavatse anupana,Lizard'9 oilis a remedy for scorpton-nting.,"It is also believed that lizards eat scorpions, hut they probably do not; when pat in s bottle together they leave each other alone. See next."
74,Animals,animals,Bala muiigltse dbairja stntse,"Ah ant'i Hrength, a woman' courage.","An ant's strength is greater, for its size, than that of any other insect or animal; a woman is more courageous in enduring than a man is."
75,Animals,animals,Mora suiidara pana paya kale,The peaeoek it beautiful but hit feet are black.,A man may be accomplished but there will be some defect id him.
76,Animals,animals,Yiiitsavtse birhSxIa pathivara,The scorpion's luggage i» on kit back.,He has no impedimenta; he pats ap his tail and moves on.
77,Animals,animals,Saradjaci dhava kuihpanaparyafita,A chameleon's run extendi to the hedge.,He knows Dothin beyond. Ne sutor ultra crepidam.
78,Animals,animals,Afire-fy before the mn.,301 SlTriTt!% TTT «ftiqoom'T fllg.'fl SmaSaiianta gele tari kavalyantsa upadrava Even after we have gone to tie burning-grownd there will be trovhle from croKt.,Tronble follows na to the very last.
79,Animals,animals,Jal3juadhye luasa zhopa gheto kaisa zave tvacya,varii tevha kale Hoto doe» afiik deep in waier? Join Ait family and you will knoK. 304 qrai?t THJI iTn''! FiojaAta rghuna mSaBl vaira Living in tie water to be an enemy lofitk. 305 inan 'Hii'ai 'Jtrnrrar fliiTraTOT 'rat Masatse porala pohajala sikavajala oako A young jisk ka» no need to learn to swim. 306 41!ij imtV ffldbW Masane manika gilane A fish swallowed a ruhy.,
80,Animals,animals,Samudri mase Ta gbari bharaihvafia,Calculating at iome on tie fish in the sea. ' Coanting chickens 1efore they are hatched ' (EngliBh). 308 wrT nn tit Ajagaraka data rania Bdm. is the benefactor tf the serpeTtt.,"It is a Boa, lae and sloish. God BQpplies those who expect much as well as those whose needs are small."
81,Animals,animals,Dada dada mara sapa ml lenkarabalantea bapa,"friend I kill the make, Re answer) ' I am the father of a family. 314 TR Wra tTW Naga saga kaga A cobra; teak wood: a crow.",These are supposed to last a thonsand yeai. But see
82,The Body And Its Members,the_body_and_its_members,Sarpa vankada tikad& palsia t«ri nitatsa bhokatse,"toiidl zaila Jiven if a tnake creep crookedly it wiUffo etraighi into it» hole. 319 m\m iimW nft ift ft'w ftiiflu, Sarpala dtidha pazale tarl to viatsa okara A tnake will emit only poiitm even ifyo%feed it m milk. 320 mi?rff7it Si.pa khai tohda rite The tnake bilei but gett nothing in itt mouth. 321 ini VfTTT 9TT ITl¥ 1TK 'gV %t?V TT Sapa marava purll n&bi tara sQda gbeila khara Kill a tnake outright or it will certainly take revenge.",
83,The Body And Its Members,the_body_and_its_members,S§pa sapn mhaQuna bhui dbopatane,To cry ' Snake I Snake / ' and to cudgel the ground.,"To lay a false charge gainst, or bellow at, a person."
84,The Body And Its Members,the_body_and_its_members,Sapatsa niufigusa vast&da tjHtsa,The ntmgoote it a match for the tnake.,III. THE BODY AND ITS MEMBERS.
85,The Body And Its Members,the_body_and_its_members,Angu§tayaruna dRaira karane,To make a ten-ieaded monster out of a thumb.,
86,The Body And Its Members,the_body_and_its_members,Apa kaja duhkhi para kaja Bukhi,"Our own body in jHiin, another's ha, We ought to bear j)ain if it vill make others happy. 332 inw f%' wt'iriwr'jtnraT TrawT Apana base lokala Sembuda apalya nakala We ourselves have dirty noses and yet are laughing at other people.",
87,The Body And Its Members,the_body_and_its_members,Apal'a bata jagannatha,Ow own arm w our god.,
88,The Body And Its Members,the_body_and_its_members,Eka gbava ai;ii dona rudhe,One stroke and the head and body are two.,Promptitude. The last word may be tukade (pieces).
89,The Body And Its Members,the_body_and_its_members,"Kadhi uzavS, kadhi dava","Sotnelimea the right, tomelimei the le.","The right hand U a Bymbol of success, the left of failure."
90,The Body And Its Members,the_body_and_its_members,Kesa upatalyane kaya madhe halake bote,"Will a corpse he lighter if its hair be pulled out? 357 vtunf Sfi Trani' 'ftirnr tht Tnft Konatse tofida tsalate konatsa bata tsalato One man's mouth it effective, another m/in's hand, i.e. in getting work done either \j speaking 01 by beating. gmzedbyGOOgle 50 MA RAT HI PROVERBS 358 MI-MF qft'ffif TIT tZt TfT Kbarya khotyatiiadhye cara botntse antara There it a difference o/fourjiaere'Jtreadtk between truth aWL false hood, i. e. between the eye (seeing) and the ear (hearing'). 382. 359 miTQi rrntH?if r Kharya panyaiita tofida dbuuna ye Come hack after washing your mouth in salt water.","To put off, to refuse a request Khodyanta paya ghalavayaaa yeto kadhavayasa paravauagl lagate One can get one's feet into the stocks but to get them out again requires permission."
91,The Body And Its Members,the_body_and_its_members,Camadi zave pana daraadi na zave,"My skin may go but not a farthing, A miser.",
92,The Body And Its Members,the_body_and_its_members,Camadi phate vastra na phate,"Tour skin may tear but this cloth will not. 365 ICTTnraS ff IjH1«lcfc Cane ekazavala va data dusaryazavala Ojte has the grain another the teeth. 20, 366 TtraTTT Wira TT HtT TZ WHI H Taalaoaia totida ya&\ pana vata zaSitsi tail The walker jpants but the road remains as it was.",Servant and master. gmzedbyGOOgle
93,The Body And Its Members,the_body_and_its_members,Tsalatila bahya tara pusatila ayabaya,If hit armt work the women will ay him attention.,Ad old man even who works will get food. Ceharjavaruua manaci sthiti kaate The ttate of tie mind is known ly the face.
94,The Body And Its Members,the_body_and_its_members,Tsutakyantsa mandava patakyancyE ghugarya,"A »hed by snapping the fingers, boiled corn by clapping the hands.",Bat these things are not so easily obtained.
95,The Body And Its Members,the_body_and_its_members,Jibhene kele ani talOvara ale,The tongue did it and th punishment) came on the head. 371 ftj?rtrt WffY fT ifRfT jft TW Jibhela nabi hada bolanyaci mothi dvada The tongue is boneless yet in speaking is very wicked.,The last part may be tari data pddate (yet it knocks out teeth).
96,The Body And Its Members,the_body_and_its_members,Jethe Tiakba Dako tetbe kurhada lavane,To use an axe where a finger-nail even w not necessary. 374 WT% tff WT% TTT Jyatse data tyatse gbaSilnta (70 thrust) a man's teeth down his own throat. 375 wrr% wnpRcnr iftr 'ft aet Jyatse managatanta zora to bajl He who has strength in his wrist is mighty. 330. gmzedbyGOOgle 52 MARATHI PROVERBS Zbankfjl mittha savra lakhfici A doted jUt i» the fiit of a miUioTtaire.,Keep a qaiet toDg:ae and you will be considered wise. To the above may be added vghatja mu(6a phvkddi (an open fiat ie a begr'e).
97,The Body And Its Members,the_body_and_its_members,Polvatae te kbare kanatse te khote,"The testimony) of the eye it true, of the ear it/alte. 358. 383 VtboEliTI Zmi( Polyaiita dbula takaue To throK dust in a person's eyes. 384 pf TnfT vnz iff Trapr fzasr Dhungapa pabuna pata tonda pabiina tila A ttool according to the buttocks; a forehead-mark according to the Digitized ByGOOgle",
98,The Body And Its Members,the_body_and_its_members,Tonda kari bata dKungana khaa latha,ffu mouth it ialJcative and he hag to bear kick. 387 iffvn t TWTT 'fit Tondatsa goda va batata zhoda Sweet cf mouth and heavy of hand. 388 HiM rt\ inira rarr Tonda teopada mananta vankada Hi mouth jlatterg but hig mind is crooked. 389 jfNt J ifftT VXK.,Tonda dharuna bukkyadtsa mara To hold a man't •mouth and piinch him. To give him no oppor tnoity of explaining. TondapRiisa zabada thora The head it greater than the mouth. Lar head and small voice.
99,The Body And Its Members,the_body_and_its_members,Dise madhe yei rade,When a corpse is seen tears fiow.,Dida butali uri pbutall A small metal-pot (as a load) and he breaks a blood-ve«»el! Great outcry after little exertion.
100,The Body And Its Members,the_body_and_its_members,Dekhala dhonda ghatala kapali,lie »av a stone and knocked it against his forehead.,Dekhadekhi kulle Sekl Seeing another warming Ms buttocks he began to do so. The last two wotde are Bometimes tsuldjihuH (blowing up her fire).
101,The Body And Its Members,the_body_and_its_members,Dona dagadavara paya theu naye,Do not put your feet on two stonet.,
102,The Body And Its Members,the_body_and_its_members,Donahl dole £ezari bheta nahi sarhsarl,"The two eyes are neighbours but go through life without meeting. 408 frtff ftdbflft 11 f nff f'f Do hati milavave eka hati khartsave Gather with both hands, spend with one.",
103,The Body And Its Members,the_body_and_its_members,Nail payaka dabava nayaka,"Nine messengers, a tenth the overseer.","Nine senses are the workers, the mind is the overseer."
104,The Body And Its Members,the_body_and_its_members,Nakate vhave pana dhakate hou naye,"Setter be noele»t than ineignifcant. 412 'ra'ffWT Wra TTflf flWTlTT TWTTflf NakatydiS. laza oHhi vakatyallL bhciza DiLbl A Hogelett man hoe no tkame, a» vgly man no wife. 413 iVT vrern p0 vm tnnTT Naka karu kasarata tumhl zala ghasarata So not train yom-self for wrettling or you leiiliiip. 414 Tra reSf 7TT 'ra wrtt Naka asale tara natba lyavi If you iave a nose you can vtear a note-ring. ' If jou have a head jon can get eighty-five tnrbaDS ' (Hindustani). 429. 415 WWi flTT IT ' Wf n Naka kapale tara mkane bhoka ahe His note it cut off and he say» ' There it a hole.' 416 Wn TW fftwsi Naka dabale ki tonda ughadate When the nSse it pinched the mouth opens.",The last three words may be mhanaje a vdtato (he saya
105,The Body And Its Members,the_body_and_its_members,Naki iiajj ale,Nitte live) have come into the note.,"A man is mpposed to have ten members, therefore ten lires. The last to die is the nose (breath). One SB good as dead. The middle word"
106,The Body And Its Members,the_body_and_its_members,"Pathazala puravela pana potazg,1a puravata nahl",Gnawingt in the lack otte can bear but not in the stomach hunger). 426 mjm HTTfif Plt JTt TT 1% Pathivara marave papa potavara maru naye Beat UK on the back bat not on the stomach.,The latter means
107,The Body And Its Members,the_body_and_its_members,Payakhali zalate ani dongari vizhavayasa dhavato,It i» burning under hit feet and he runt to extinguiih it on the hUlt. 432 iTpfW TUr TPfN (TR Payinci vahana payintsa chana One'e tandalt are best on ontfeet.,Paraka paya va gharala apaya A strange foot brings evil to a house.
108,The Body And Its Members,the_body_and_its_members,Fokala lagale mhanuna koiiiparane khanu naye,Bo not dig with your elboto because it is soft.,The two first words may be mail sdmpadale and mean the same.
109,The Body And Its Members,the_body_and_its_members,Pota bbarate pana dole bharata nabita,7%« ttomacA can be satiied lut the eyet cannot be.,
110,The Body And Its Members,the_body_and_its_members,Pota mothe basu kotbe,"My itomach it large, where gJuUl I eit? Maet be anderstood as said satirically by one man about another who is very self important. 439 qtZtT! fliaB JTWnr flSo Potanta zale matbyanta kale Burning in tie stomach ig knovm in the head.",
111,The Body And Its Members,the_body_and_its_members,Potane pure mbanavile ahe,"The ttomach has made us say 'Enough,' 441 qtel'Si TT'T Potamule deSa paraka Through the stomach we are strangers to our country. 436. 442 M)eT4 ThreiT ni nf¥ Potavara bahdbalyane bhuka zata nahi Hunger will not cease by tying food to the stomach. 443 qiZrr 9 Vrfliri WT? Phukatatsa gala aoi kela lala A cheek gratis and he made ii red, i. e. by kissing. 444 TTtWTrgfTRT'K Ban bola vatse tuzhe kaya vetae voice! Speak well; what will it cost you? 445 dbtT dbZ Wt VKTT atZT Balatsa balaka to dhiratsa khota A man of great strength lacks jiatience. gmzedbyGOOgle MARATHI PROVERBS 446 aft it\ mm ftaSt Bali to kana pi Tke ttrong man Kill tvntt your ear. 447 fI?fTll Budata pSya kholakade A nnking foot goet towarda the deep.",The opposite of
112,The Body And Its Members,the_body_and_its_members,Buddhivanatsa h&ta l&ihba,A wiie man'i arm ii long.,
113,The Body And Its Members,the_body_and_its_members,BeihbltBe ukhala zbale,Tkt navel ha» become a mortar.,"Stoutness, then opulence."
114,The Body And Its Members,the_body_and_its_members,Manaiita mahde padaranta dbonde,"In the mind, jtagtry; in ike lap, ttonet. 457 vnlfjfYf Maui vase te svapni dise What dvtelU in the mind it teen in a dream. 458 jrnft% gSl fTTwf wtrt •il'fl Matitse kulle lavalyane lagata nahita Buttocke of earih if put on will not itay.",Strangers can never be fast bound to us like relations.
115,The Body And Its Members,the_body_and_its_members,Ya botatsa thufika tya botavara,3%e gpittle from this finger on that finger.,From a game like our
116,The Body And Its Members,the_body_and_its_members,Radatyatse dave bazusa va haaatyatse uzave bazusa,basu naye Do not sit on the left of one who is crying nor on the right of one who is laughing.,The crier using his left hand with which to rub his eyes may bring it down on you in anger if you are near; the gmzedByGOOgle
117,The Body And Its Members,the_body_and_its_members,Sadara tikade nadara,People look to the heads of affairs.,Sarasari gudagbya itake pani The average depth of the water is up to the knee. The misleading nature of averages; from an old story in which a rigid mathe matician told a traveller who waa about to ford a river that the average depth was up to the knee I gmzedbyGOOgle
118,The Body And Its Members,the_body_and_its_members,Sonyaci auri nako ghSlii mi,Do not itab younelf because you have a golden itife.,
119,The Body And Its Members,the_body_and_its_members,Hasata mukhl sada sukhi,A laughing face U alwayt happy.,
120,The Body And Its Members,the_body_and_its_members,Hasatila tyantse data diaatila,They who laugh will show their teeth. 473 fTTTlf »M irt ft 5TW HatI ale anj pavitra hale When it came to our hand it became sacred.,We value a thing when it ia ours. Prov. xx.
121,The Body And Its Members,the_body_and_its_members,Hetsa dole ani hetsa tamade,These are the eyes and this is the show. 146. 475 Rl5 ■'BTfti ¥T TTlft RDika sukha ani debaci mati A moment's pleasure may ruin the body. b) Dress and Adoekment. 476 VrajTWT tW VifSJTWl VflH.,Angadyala soduna ghofigadyala dharanara To leave the jacket and to seize the coarse blanket. To release the well-dreBBed and to seize the ragged man.
122,The Body And Its Members,the_body_and_its_members,Eka dhotri maha kgetrl,"One Kuist-cloti, a great pilgrim. 482 nvr tnrnT »pwt ti i! Eka kanavara pagadi ghari randa ughadl He toeart his cap on one tide, his wife m in rags. 483 inrr vf wSt Eka maletee maDi Beads of one rosary.","Exactly alike. To it may be added Eia sdrakhe eka gani (They are alike); or, this may be added Ovaald ndhl koni (No one can thread them)."
123,The Body And Its Members,the_body_and_its_members,Ekine ghatali san mhanuna dusarine ghatali dori,"Because one /.) wears a gold-necilace another mean a string. 289. 485 'ifrtTT ijfl'ft TtTTI Wit Kananta bugadi gavanta phugadi Ornament in her ear, she struts about the village.","She does this to be seen. In playing the game phugadi two girls join hands and spin ronnd; while doing this the sadi is not kept over the head bat is drawn tight across the breast, and the two ears are thus exposed to view."
124,The Body And Its Members,the_body_and_its_members,Kapa gele bhoke rahili,"The ear-rings are go?te, the holes remain.","Prosperity has gone, only the signs of it remain. gmzedbyGOOgle"
125,The Body And Its Members,the_body_and_its_members,Kalataa zogi va mandabhara zata,An atcetie of ifeiterdajf md hi» matted Hair reae&et to hit thigh.,A novice is zealooB and osteDtaUous.
126,The Body And Its Members,the_body_and_its_members,Khuntme hara gilae,The peg ttoallowed the neeklaee.,"When misfortune came to King Vikram he is said to have hun a necklace on a peg in the wall and it disappeared, the peg swallowed it. When his good fortnoe returned, the necklace appeared again on the peg."
127,The Body And Its Members,the_body_and_its_members,Gala nahi sari sukhi nidra kari,"20 necklace round the neck brings peaceful tleep, 491 llitiJ HT3ET Mtifl WOST Galjaiita mala potahta kala A rotary on the neck, black at heart.",Beads about the neck and the devil in the heart
128,The Body And Its Members,the_body_and_its_members,Tina koni topi zikade phirela tikade sarakbitsa,A three-comered hat look» the same wiichever way it is turned.,"Probably sueted by the old Englisb hat; applied to EDglieh rule, which, whether gooi or bad, claims to be eatis&ctory. Dea tasa vea Ji tie country so the dress."
129,The Body And Its Members,the_body_and_its_members,Nura tasa vakara,As the appearance so the dignitj/. 510 Wit M?n?ift fl1f Neaata yeina mliane lugade tokade She cannot put the sadi on properly and says it is short. ' Bad workmen qnarrel with their tools' (English). 1833. 511 qiTCTi%f3fqnr»NraT% Phatake nesave pana svataiitra asave Wear torn things but be independent. gmzedbyGOOgle 68 MARATHI PROVERBS,
130,The Body And Its Members,the_body_and_its_members,Fhatale pangharuua vanatee mele martusa gnnatse,"Tie wom-out dreti km of tjileudid colour, the dead man «aa virtuoHi.",De mortniB nil nid boDam.
131,The Body And Its Members,the_body_and_its_members,Sikha svasthani sazari,"The haw-hiot it tuitalle in itt own place, 516 fT7l% qriWTTH Vl'KM I WJl Hatatse kankapasa arasa kaSasa Why do you want a mirror in which to tee your bracelet? 617 ft ft tfTT 'nr; sft itt Hira fco hira gara ti gara A diamond it a diamond, afiint it a flint.",
132,The Body And Its Members,the_body_and_its_members,Aiigavara pade tara dune bala teadbe,"If a retpontible work be given you, you acquire double ttrength. gmzedbyGOOgle",
133,Ethical,ethical,Ati raga bhika maga tyQna raga deSa tySga,"Great anger iringt) begpary, dill greater brings) exile. 521 Hfll 4 lH( Ati sarvatra varjayeta Excess should alwagt be avoided. 'Moderation ia all things' (English).","The proverb is from a Sanskrit iloka which epeaks of Sita, Bavan and Bali as being respectivelf beaatiful, prond, and liberal, to excess. Another form of this saying is Ati tethe md/i (Where there is excess there is dust)."
134,Ethical,ethical,Anyaya santeela bota thentsela,When faults have aeeumulated the finger loill be crushed.,This only means that punishment will follow.
135,Ethical,ethical,Abm gelyavari parava iia dhart,After a mant character hat gone he ceatei to care. qVJ.,
136,Ethical,ethical,"Abhimanatse ghara khS,ll asate",The houte of pride U utvalljf empty.,The first word may be garvdtte (of pride).
137,Ethical,ethical,Are tara kare aho tara ka,"If you Sirrah me I shall Sirrah you, if you Sir me I shall Sir you. ' For the civil, civility; for the eaacy, saace ' English), ATasiiDa ghataki maha pataki One who loaet courage at a critical moment m a great sinner.",The lirst two words may be Viimsa ghataH
138,Ethical,ethical,Asa sadbi artha ki jy&nta ghade paramartha,Seek tuck an olect as will eniiire yoti tie higketi good. 538 Tiraf tJnft %ST Akare rahgati ceta Bg tiefrgt act the rest of tie actions are shown. 539 mWT WWWf TfT WrilT VJITK.,Agala padala tara magala huaara If the one in front fall the one behind grows wise.
139,Ethical,ethical,Acara bbrastl eada kati,A bad-living man is always in trouble. 542 Tjra xrt TiTftr 'rat wrw Atba e ada ani nau »e tsahada Bight hundred hindrances and nine hindred false reports.,Be prepared for this in doing any good work.
140,Ethical,ethical,Apaduhkha bhari acii paraduhkha &tala,"Oar own trial w heavy, another's it liht. 88i, 549 HR »WT WT 'I 1% Apa bhala tara jaga bhale If toe are good the world it good. ' Good mind, good find ' (English).","Used also with such words as bad, happj, straight, rained,"
