id,theme,theme_bucket,proverb_translit,literal_en,commentary
458,Trades And Professions,trades_and_professions,Damadita varu kothe gheuna phiru,"A farthing' » worth rfeaUM and inquires wkere tojmt them. 1773 iraH %$ nrfv vHt wni DamadltBe gbena ani khaiiditsa, bhava He want afarthit worti and asia the rate of a cart-load. 1774 VTWTVT IWT i1% WT TTftl Dalalacya angavara ghode padata nahlta The horte-broier does not hear the lots of the hntes.",
459,Trades And Professions,trades_and_professions,Diraea bude ani mazura ude,Wkm the dajf linit the labourer jumps.,"He is pleased that his work is done. Another form is Sirya aita aura mazOra matta (The sun has set, the labourer is fiisky)."
460,Trades And Professions,trades_and_professions,Delia vaoi khaila prani,If the grocer will give ike man wiU eat.,Most people live on credit.
461,Trades And Professions,trades_and_professions,Deta tsokba gheta rokha,"Give good articles, take ready money. gmzedbyGOOgle Xm.",TRADES AND PROFESSIONS
462,Trades And Professions,trades_and_professions,Baniya deta nShi purfi tola,The grocer will not eupplg him and he waata) 'full weight.' 1785 TWTTnOT WTt WnWIT flf IXflf B&zaracya bb&kan bbazanyaci zarura nahi It it not nece»ary to bake bazaar-bread.,People nsnally make their own. Bake your own bread and not other people's. Bhamatyaci fii bbofiduna loka khal The picfyoeieft mother will deceive people to tupport hertelf.
463,Trades And Professions,trades_and_professions,Bbavapanatsa sonara pana zara tan tsataka gbe,iara A tnuttDorlAp goldtmUh yet he mil take a grain or two.,Madalatsa katha ola She to valela While the edge tf the pot ie raw it can be moulded. gmzedbyGOOgle
464,Trades And Professions,trades_and_professions,LaSakara dona e ani nhavl paiit&a de,t!wo Aundred oldier» and five hundred barberi! Exaggeration.,SometimeB eiglit and mne Lnndred reepectivoly are quoted.
465,Trades And Professions,trades_and_professions,All bia bravado had left him. Anotlter tale ie told of this tailor'B cunning,in stealing cloth.,"NSna Saheb was determined to detect him, and made him work in the verandah clothed only in a email waigtclotb. But the tailor arranged for his son to come suddenly and call him, and when he did so pretended to be angry and threw hia hollow needle-and'thraad tube at him. The son carried off the tube, and in H was concealed some stolen cloth!"
466,Trades And Professions,trades_and_professions,Eka ghaj suna tara dasa ghara puna,Nothiiig in one house hut merit in ten otkert.,"It ie also quoted thua, SAiika mdffatyd dah4 dare"
467,Trades And Professions,trades_and_professions,Khura khazftvi nagaia vsusavi,"A enrry-eoaA aeratehei, a dmm mmndt, Evaytliii has ite proper nse. 1825 «Ti:« ITt VtIiV Ehlatogmla ffe who eaU will ting.",No one is decrial whfo hongiy.
