id,book_no,theme,theme_bucket,proverb_translit,literal_en,commentary
61,151,When the bone of contention is removed,nature_animals,tfS Ctfatt far (7TPT I CFP? fl CsPT I Ha(n)h powali nile shene. Tumi jene mayo tene.,"The hawk has carried off the duckling, Now we are equal.","Literally, I am the same as you are. The hawk has carried off your duckling, so you can't lord it over me any longer."
62,152,The man who is blind,social_castes,"Jhapi, lathi, tanga, iyak ji nalai, Shi dinate kana.","He who carries neither jhapi, lathi or tanga, Is blind even in the daytime. 153. People who live in glass-houses, etc.","51 tt \fRl Ttfe C? f%5 3TttF tT tt, f'fFf'r Chai chai buliba bat dehar bhitarat dche khal bam, pichali pariba tdt. Look out as you move, for there are many holes within your own body,"
63,165,Pick up wood with care,wisdom_advice,"Kak damd chai lari bd, kharf. Tare kan mari tare jari. Pick up the wood with care,","So that you can find your stick for carrying the bundle of faggots on, as well as the fastening,",Class III.
64,166,AJwms,other,Ahomar chaklang Hindur bei. Tomar patalit paricho jei kara nei.,"For the Ahorns the chaklang and for the Hindus the bei, Deal with me as you like, now that I am in your grip. These lines are meant to express the feelings of a bride after marriage. FK (chaklang) is the name of the Ahom marriage ceremony. C (bei) or fts1 (biya) is the Bengali fe (biye), or ftft (bibdha). C (bei) is the word generally used to denote the Hindu marriage ceremony of the Cfa (Horn). Now-a-days, nearly all marriages, even amongst the Ahoms and Chutias, are performed according to the Hindu custom, there being very few chaklang ceremonies. The Ahoms and Chutids are becoming rapidly Hinduised.",167- Bhakats. Kani pare ha(n)he khai bhakat da'n)he. Ducks lay eggs and the Bhakats eat them. (bhakut). — This is the name given to the disciples of the gosains.
65,169,Bhakats,social_castes,"Jetiya mariba dholat chapar, Tetiya laba murat kapar.","When they (the bhakats) clap their hands at the temple, Then cover your head with your cloth.","The proverb alludes to the evening worship at the temple, when, on account of the evening chills, it is best to cover the head. Ft9! (chdpar) here means the clapping of hands by a number of people all together. The chdpar11 is the principal accompaniment to the singing of religious hymns (ndm). The chdpar accompaniment is varied at intervals by the clashing of tal (cymbals) and by the beating of large drums."
66,178,Brahmins,social_castes,"Moy dchilo dhari boi, Mok anile Bamunto koi.","I was combing my beard, And he brought me here, calling me a Brahmin. Perhaps this is intended for joke, as Brahmins in Assam don't have beards, as a rule.","179- Mahangs. Dhan mahangaloi gal Ion briar pelai, Mati bhar anile ghar mdchibaloi hal."
67,182,Mariyds,social_castes,"Mariyak kelei dhan, Gariyak kelei kan?","Why should a Mariya have paddy, or a Gariya be allowed to keep his ears?","(Mariya). — The Mariyds are braziers. They are, as a rule, much looked down upon. They are professedly Muhammadans, but are quite ignorant of the tenets of Islam really. Possibly, they are converts from Hinduism, which may account for the contempt with which they are held by Hindus, sffafl (gariya). — This term, as stated before, is meant to be one of opprobrium, but in reality it is nothing of the sort.?tf1 means a man from Gaur (a city in Bengal), that formerly existed. The Assamese Muhammadans say they are a relict of the Muhammadan invasion. In the times of the rdjas, they were much oppressed, but their status has much improved of late years. _"
68,183,Ndtjas,other,"Naginie lara pai, nagai jal khai.","The Naga's wife gives birth to a child, the Naga drinks the medicine. (jal) is the Hindustani jhdl, a preparation of hot spices taken by women after delivery.","1 (nagd) or N1 (ndgd) is a generic term, which includes a number of large and powerful hill tribes."
69,184,Thieves,deceit_vice,Ghor por mukh khanihe.,The stock in trade of a thief is his appearance.,"There are two kinds of thieves is Assam — the thief in the ordinary sense of the word, and the c&fatfa CFl (chowali chor), or the stealer of young women. Marriage by capture still exists in Assam, indeed, amongst the lower classes; this is by no means uncommon. A young man singles out a girl at the bihu festival, who is perhaps not insensible to his attentions, and, when opportunity offers, elopes with her. This is called cFfatfT CFtfr (chowdli chori), or the stealing of young women. In this way the bridegroom escapes the p.-iyment of money or presents to the girl's parents. Hence this proverb The stock in trade of a thief is his appear- ance."
70,186,Thieves,deceit_vice,"Jor o jor biparit jor, Eti kankata eti chor.",". A couple, a dissimilar couple;",One has cropped ears and the other is a thief. The use of fttfVs is here ironical. HF«1 (kankata) literally with ears that have been cut off. It was the custom in the times of the rajas to cut off the ears of thieves and other offend- ers.
71,187,Betelnut,nature_animals,"Sarukoi kdtibd, ghankoi kh£ba, Sbei tdmolar bilah chfiba.","Cut it small and eat it thick, And enjoy the betelnut.",
72,193,Cutting off the nose,other,Nijar nak kdti shatinir jatra bhanga.,"She cut off her own nose, so as to prevent her husband's second wife from starting on a journey. One wife, out of jealousy, because her husband's second wife is going out for the day, slits her own nose, so as to prevent her starting. The Assamese have a superstition that if anything mutilated or deformed is seen when setting out on a journey, the journey will be unlucky. fst (shatini) or arfaT (shatiyoi) =one of the several wives of one husband. Polygamy brings many evils; not the least of these evils is the jealousy that nearly always exists between the wives, which results in continual squabbles, cf. — the following translations of Eastern sayings: Malay. — Two wives under one roof: two tigers in one cage. Telegu. — Two swords cannot be contained in one scabbard. Afghan. — Who likes squabbles at home, contracts two marriages. Tamul. — Why fire the house of a man who has two wives? i.e., the fire of anger and jealousy is enough.",
73,199,Dheki,nature_animals,Dheki shal phurile khudar ki akal.,"The paddy-husker has gone away, what a dearth of broken rice (refuse) there will be!",200- Father. ttfl rte vtffr Tif'tf i Bapur gat barhani lagil. The broom has touched father's body!
74,203,Husband,domestic_life,"Etiya palehi ghar patapoi, Kilabaloi dhiche kher pelai dallaoi.",Now has come the worthy husband j He drops the load of straw from off his shoulders and wants to hurt me with the knife in his hand.,"(gbar pata) literally, he who has established the house. Here the wife is the speaker."
75,205,Husband,domestic_life,"Kihat karilo ki, dhan edon di, Poito anilo nito kilai mare.","What have I done to have bought a husband for a dun of paddy, Who always beats me.","In Assam the bridegroom, as a rule, has to make presents to the bride's parents before marriage, so that in this proverb the order of things is reversed."
76,209,Learned,social_castes,Jandr bhat mach najanar sheiye kalagrah.,"What is cooked rice and fish to the learned, is an insurmountable difficulty to the unlearned.",
77,213,Marriage,domestic_life,Etai bor khorochatkoi Biyar khorocha sliakat.,"The slip-knot of marriage is the strongest slip-knot of all. 214, Mother-in-law.","Chal pai biyani nito tini beli. If the mother-in-law gets a chance,"
78,216,Oil,nature_animals,"Eanat pari kaliya halo, Tel naikiyat phapariya halo.","I have become black through having fallen (wounded) in battle, And I have become scurfy through having no oil. A cooly whose skin has been tanned through exposure to the sun, says he has become black owing to being wounded on the field of battle. Having no oil to rub on the body is given as an excuse for his skin being scurfy. The Assamese rub their hair and body with Ttfw«T C$\ (narikal tel), cocoanut oil.",
79,219,Porters,social_castes,"Bharik nere bhare, jabarak nere pachala khare.","The burden does not leave the porter's back, and potash (salt) does not leave the vegetables.","The above means that a porter cannot earn his livelihood with- out carrying loads, and vegetables cannot be eaten without salt. t5Tl tta (pachala khar) = potash obtained by burning plantain trees. In olden days potash, so obtained, was eaten in place of salt, which was not readily procurable. %R$ (jabara) = greens boiled without salt."
80,221,Step-mother,domestic_life,"Ki kam mahr air gun, Ehate kharali ehate Ion!","What shall I say of my step-mother's character f In one hand she has chutney and in the other salt! In former days salt was a luxury, and kharali is much appreciated as a relish to eat with boiled rice. For note on ' kharali, see No. 103.",
81,223,Stolen cattle,nature_animals,Chore niya garur bate bate ghah. The stolen bullock finds grass along the road.,All roads in Assam have grass growing on the sides upon which the cattle graze as they go along.,"224- Teacher. Kelehua oja chapaniyd, pali, Ore rati nam gay kher jui jali. You uninvited teacher! you have found another uninvited one (chapaniya), And have lit a fire and have sung hymns all night."
82,226,Village conversation,social_castes,"Dhekiya lata pata, Bhat kaote pani khai, Shio eta katha.","Bits of fern, creepers, and leaves. He drinks water whilst eating rice. These are the subjects of conversation.",This is a description of village talk. 227- Water Sprite. Khal khani jashini chapai lale. By digging a drain (near your house) you have brought the evil spirit closer.
83,231,Widower,domestic_life,"Parbatat kachakani bhoyamat ban, Barala bichariche shukan dhan.","To look for turtle's eggs in the hills, to put up a weir (c.cross a stream) in the plains, Are as difficult things to do as for a widower (to obtain) dry paddy.","In the proverb just above, we have some of the advantages of widow'erhood. In this proverb we have one of the disadvantages. Tfl (ban) is a weir thrown across a stream to prevent the fish finding their way out to the Brahmaputra. Such weirs are difficult to put up, and still more difficult to keep in place, as the streams are liable to rise suddenly and wash them away. Turtle's eo-o-s are found on the sandhills alongside rivers. They are difficult to find unless the turtle is seen making its way off from the place where the eggs have been deposited. 232. Wives: The contrary wife. Khojo kharali diye Ion, Ene ubhatit thakiba kon. I ask for chutney and she gives me salt! Who can stand a wife who is so contrary?"
84,233,The wife wlio is a hasty cook,domestic_life,"Khar randhani khar barani poiek laghone jai, Oda randhani oda barani poiek tini shaji khai.","A hasty cook and a hasty broom, and the husband goes fasting, A slow cook and a slow broom, and the husband eats three meals a day.","A hasty cook often spoils what she is cooking. A hasty broom makes a lot of dust. A cook who takes time and trouble, prepares a satisfactory meal. A broom that does its work in a systematic manner, makes little dust. ft (khar) = literally quick, dry, parched. 1 (odd) — soft, not over-roasted."
85,234,The wife supreme in her own house,domestic_life,"»rf% brfr, «rfer ffa frfr i","Ghare pati ghoini, khale pati jashini. In the home the wife is supreme, in the ditch reigns the water sprite,",
86,236,The shrew,domestic_life,"Par kar jubala gay nathaware. Cross me over (the stream), stupid. I am so tired.","237, The spoilt wife.","Betiye bhangile katarS,, Grargao palehi batar£, Ghoiniye bhangile ka(n)hi, thale muchukai ha(n)hi. The maid-servant broke a cocoanut shell, and the news spread to Gargao. The wife broke a brass plate, and the result was only a smile (from her husband). T.i?ri (katara) is a half cocoanut shell used as a cup by the poor, or as a lid for a vessel, sfsffts Gargao (n), Nazira, was at one time the capital of the Ahom rajds."
87,244,Women,domestic_life,"Thuparir poi, maje phutd choi, kati khai katand, Ei tini chari jamar jatana.","To be the husband of a worthless woman, a cart-covering with a hole in the middle of it, a hired weaver, These three are the agony of death.","In Assam, the bullock carts are covered with hoods made of matting, with bamboo hoops to support it. Any one who has travelled in a bullock cart with a hole in its hood on a wet night in the rains, will endorse the truth of this saying. A hired weaver is very troublesome on account of her bad work, qfafl (katana) = c&br CTtr-R 1 1 Tl vt'ft CtM itSI I — (Branson. (Bechaloi lokar shutd kata ba kapar bowd manush). One who spins or weaves for others for hire. For note on (jam ), see No. 24. Class V."
