id,proverb_translit,literal_en,commentary,category,category_basis
70,Dst ke eir pdn phiil. Mah. Worn. flowers.,On the head of the nurse are betel and,"Taken from the game of blindman'e buff, in which one child, under the chanoter of a nurse eloees up the eyes of that one who is to search tor the thief.",Society & Relationships,keyword rule: child
71,"Ddl rl, ddl tore edt hok bhdS /","Nurse, may you have seven brothers 1",&id by children in blindnaan’s buff.,Society & Relationships,keyword rule: children
72,Dam band rahet pKMk ndaal ‘de / away.,May your life remain and your breath pass,A blessing and a onrse.,Uncategorised,keyword rule: 
73,"Domri B bulbal, (dhd ehhnfdi.",A penny for plucking a half-penny bird.,Bxpsnding oa anything mora that it is worth.,Nature & Animals,keyword rule: bird
74,DhdAbMk j4dUL Bus.,Wban the log burns the cold goes away.,Ckn loads to sttooa ss.,Uncategorised,keyword rule: 
75,Dhara mdtd bojh eadbhdlo /,May mother earth long bear yooi weight I,May yon live long.,Society & Relationships,keyword rule: mother
76,"Dlyeiidaa o haddd, lamed ba har dd /","A gourd and a pumpkin, a ourso on both I",AppUed to a dUpute between two psrseas equally worthless.,Uncategorised,keyword rule: 
77,"Dhf bail apna ghar bhati, Hin. Worn.",Daughters are best in their own'iwasos.,i. e. tbsir husbands' honass.,Uncategorised,keyword rule: 
78,Dhl ehioff ddmdd pydrd /,To neglect the daughter and oherish the,"Usosl onstom in India, ssprsiiisg esastly thsupposito of the Bagttsh proverb— My •on is uy atm till he ssaiTiee a wifa my dsngbtor si my daughter all the days ef bar Ufa",Society & Relationships,keyword rule: daughter
79,DM jKirtfi. ddkh tajdi.,The eyes feel shame for another's daughter.,When married into the owner's family.,Society & Relationships,"keyword rule: daughter, family, married"
80,"M aml wtwT, Mb dear jAisi.",A dome to louh at and his voiM m % welL,"A big man with a weak vaim Dilofl warded hd gedM heei. fintTciy ia man's jewcL Dil kd M tOma hoL The heart is a mirror for tin bMCt. FriamIdnpbnndifriendiUlcIswehspfolsen,",Uncategorised,keyword rule: 
81,"Dil lagd geMd oo, to fori lyd sib htdf","When the heart ia aet on a aheeM, whht is fiury enl",Love aeeo no fseJtn.,Uncategorised,keyword rule: 
82,"Dil Mf, khdnd tardsk.",A ttre in the hmrt and a knife in the home.,A bad MiB.,Uncategorised,keyword rule: 
83,D.ivdli ke dif$ chdt-kar jdhige.,They will lick up your Diviill lamp and go.,They will eompletely ruin you: at the DivSli it is iucumbout on every orthodox Htodh to light as many lamM as he can aiferd: alao said of flies which grow less annoying at this aeaaoii on account of the apprasah ing winter.,Nature & Animals,keyword rule: flies
84,XKfi ddn mdkf« Muimlmdn.,Mnaaliuiiia will olaioi bac k the given alma.,AiluHion to the IfuhaiaiutuUii cutoin of tokioK «9h th« dewr/ after the dcoume of a daughter.,Society & Relationships,keyword rule: daughter
85,"Dlfg na hdtl, munm pAire itr4Ui. Worn.","There ia neither lamp nor oainilo, aud the widow is strutting about",Said of peraona attempting to do what are unable to ettect.,Society & Relationships,keyword rule: widow
86,"Domed din to gad pddo, kmlwd wSUL mm mddio.","From both creeds the priest waa expelled,",from Ifnelim's) hatod (eweetmeat) and,Uncategorised,keyword rule: 
87,Dddh kd dddhf jfdni hd jCni. itself.,"The milk is by itself, and water is by",He eeparatea the truth fnini falsehood. A pbraae uaed to exi)ieHH just decision and,Nature & Animals,keyword rule: water
88,DUdh H «i makhhi nikdl kar phek de. milk.,He was thrown away like a fly out of the,Suddenly and completely.,Nature & Animals,keyword rule: fly
89,Dddh meh H makkhi kia ne ehakkhx t,Who would ever taste the fly in the milk f,Hindris throw awi nny fo in which they may And a dead fly.,Nature & Animals,keyword rule: fly
90,"DuUt bftareh Bi FAkhtd, Katmd mm hkdi.","The Lady Dove has all the paine, and the Crow eata up the fruit",One boate the bosh and aaatker eatehstb the birds: the cat’s paw.,Nature & Animals,"keyword rule: cat, crow"
91,Dunyd Kai mur kuthumad t,There is the world and flattery 1,So you oan still gst on.,Uncategorised,keyword rule: 
92,Dushman kl nigd/i jtUi par.,Your enemy will always look at your ahoea.,"I, e. will never look you in tho face.",Wisdom & Advice,"keyword rule: always, never"
93,Gadhd ghord eh bhdo!,What t the same price fora hone and an aea I,8sM to a ciiiAm who appraisw a anpsrior artids at the some price w thcinlwior one.,Uncategorised,keyword rule: 
94,"G’lir gair hi hai, apxid apnd hi hai. own.","Another’s is another’s, your owu is your",Blood ia thicker than Water.,Nature & Animals,keyword rule: water
95,"Gale pofi, hajde siddh.",Whtn joa hare to do it make the best of it.,To maka tha boat of a bad bargiun.,Uncategorised,keyword rule: 
96,Ml owr fariOri khdne hi lu vOate hoi.,Yogotablee and abuse are mode to be taken.,"A pan oa the meaning of khdna to eat, and to aiiftar: reply to an abuM and it will nuke two.",Uncategorised,keyword rule: 
97,GamnadOnhm bakhar. Pers.,"If you have no cares, buy a goat I",And oaree wiU eoon follow.,Nature & Animals,keyword rule: goat
98,Ghar ehhor hadrd qdgam. Mah. Worn. (pthOO.,"He has left his house to lodge in %, mein",A foolish fellow.,Human Nature & Character,keyword rule: foolish
99,"Ghort mar gae, gadhan ho rdj dyd.","When the huritea are dead, the afiaes rule.",The wiae are deed aqd foola flonriah.,Fortune & Fate,keyword rule: dead
100,Gadge kd gur khdgd hoi t,Jiave you eaten the treacle of dumbness t,Said to one who won't Hwak.,Wisdom & Advice,keyword rule: said to
101,Gur khdegx to degl nddhere men.,"If she would eat sweets, she must meet",a lover) in the dark.,Wisdom & Advice,keyword rule: must
102,"Guear gnA guerdn, kyd,opfi f kyd maiddm 9","Transitory things pass away, what is the difference between a bouse or the open air %",It is sll one s hundrud years hmoa.,Uncategorised,keyword rule: 
103,Gtuanhta rd eahd/t / Pen.,Blessings on what is past f,Let by-gones be by-fouea,Uncategorised,keyword rule: 
104,Hdkim kdre mAAh fit miMfi stdiw. down.,"If you confute the ruler, he knocks you",It is vain to dispiite with him who has . the power in his hands.,Human Nature & Character,keyword rule: vain
105,"Haldl mek kaikat, kardm mek bark. wicked.",Sorrows to the upright and blessings to the,"I bare seen tbs wicked in great power and spreading hitnaaU like agrsati bay tree, yet he pa-setl, and lo, he was not. P»Um§ xxavu, 55. 5fi.",Nature & Animals,keyword rule: tree
106,"Jlamdro ghar doffe, hyd tdoge / twnhdre ghar","When yon cuinc to my house, what will you tiring for me? and when I go to yunr hoiiHC, what will you give roe to oat 1",Heads I win and tails you lose.,Uncategorised,keyword rule: 
107,Ham kyd rdnd ke jafivdi hat'd f,Do yon take me for a widow’s son in lawf,i. c. n. Kir.vnn whom no one looks after.,Society & Relationships,"keyword rule: son, widow"
108,"Har rot Id nett, ki halvd khurad hate. Pen.","Everyday is not Id, that one may eat cakes.",There ia a time for oveiy thing.,Uncategorised,keyword rule: 
109,"Hart tevd tolak baratt gar tend pal eAdr,",Serving God for sixteen yean is not equal to serving the priests for font minnteo; according to the Soriptnrea I,A skit at tha extravagant prstonsloM el tha Brtbmans.,Fortune & Fate,keyword rule: god
110,Hatt 0 nett bardbar hai /,His ezistance or non-existanoa la all aM,to me) 1,Uncategorised,keyword rule: 
111,Hdih dekhoH ko drtl hydf Hin. Worn.,Why (keep) a glass to look at the hand t,"JrsI, a small mirror worn in a Hag by wsams on ths thumb.",Uncategorised,keyword rule: 
112,"I/dfM nik il guyd, dum rah gai.","The elephant is over, only his tail remains,","1. Said when very little remaini to be done of a great work. 2. To erpreiw that a work ia left imnerfect, whoa nearly brought tr a ennolusioa. To swallow a cow and be chok cd with tho tail.",Nature & Animals,"keyword rule: cow, elephant"
113,Bdthfdod dlyfi-soARy bdt harm h /mat ItdXtf,Bands and feet are fnalahw bol God laTe ne from his words f,"Aesaomonstoafoay I Bdth pdod hild, BKagjdn degd, Hin. Womu Labor, and Uod will give. I ( Ood helps those that help themselves.",Livelihood & Agriculture,keyword rule: labor
114,JETotdr nmfftydd mareh to eh dyd ho.,It tidrea a thousand harlots to make an dyd.,bdearothonuiaooand maide of Europoane; choy are oommooly of easy virtue.,Uncategorised,keyword rule: 
115,JflftBhmdi madfamnl mM pel.,"eanioh’s earnings go to the bgiber,",Eohaotoshavo so often to leek fsaainiao • aadaitraetivo.,Uncategorised,keyword rule: 
116,SimdUa hi ghori Irdqi ke Idt mdre. horse.,The protected mare will kick the Arab,The tyranny of the protega of men high in office.,Uncategorised,keyword rule: 
117,Hfr kd kgd jijmdn t aur lapel kd kgd pakvdn f,Can an Ahir have a (religious) olieut 1 and oan a crust be a dainty 1,Jifmdn ia a elient to a BighinaA priast.,Uncategorised,keyword rule: 
118,"Huidmat H, ghofd our ekkaipateH ddad. com.",The Governors mare eats thirty eere of,"A a The animal aats Ibnror five and the re smuidsrfeeaintethspoakelsefthe hangars Hteaar aumd bkdhd nakUk rahtd, A master of hia trade never atarvee. HUN",Livelihood & Agriculture,keyword rule: trade
119,"Idhar Qiblah Qutab, udhar Khatyah, mdldb lud","This side Mecca, the other Khatijah, where I am to make water 1",Maharamadam don’t make water to the aide of Mecca and Khatijah: to bo put on tbo horns of a dilemma.,Nature & Animals,keyword rule: water
120,Intdn med kyd rakkhd hai f,What then is in a man t,He very easily dies.,Uncategorised,keyword rule: 
121,Itnl hhl aqal eran hotl hai.,There is flatulence even in so much wisdom.,"You are too sharp, you may out jr'ouraelf.",Human Nature & Character,keyword rule: wisdom
122,Jdgte kl kadydf aur aote kd bcUfd.,"A female buffklo calf for him that keeps awake, and a male one for him that sleeps.","A fonulo buffalo calf, kaflyd, is moca valwtbla than tha male, l»",Uncategorised,keyword rule: 
123,"JahM jdi bhakd, vahM ftOf e iSihd,","Where goes the hungry, there goes lhmin«i",To deeeiibe a person who is vsqr nalaohy.,Uncategorised,keyword rule: 
124,"Jaiaan ko taiaan, avkCi ho baigan, flieh.","Well matched, like the egg-plant and dried",To signify that things are not well matehod: used in a satirical sense.,Uncategorised,keyword rule: 
125,Janam ke dttkhiga nam Saddsukk.,Wretched from hirth and called Fortunate.,"Said wli,oi penury at home affects the appear ance of wciilth abroad.",Uncategorised,keyword rule: 
126,"Jmrtjmi,ad/k0Sikar. E. Worn.",Going to the burning plaoe and thinking of,the Planet) Nhnna.,Uncategorised,keyword rule: 
127,"Je bahut dhadhmld, to dy vud jMfe/d. Bhoj.",Who makes a tonfire will fall into the fire.,Plajiog with edged toole.,Nature & Animals,keyword rule: fire
128,Jdtar jmrhhd na dekfteU poSf idtj ghar khur,Shall the man who never saw a potherb have a horse shod in his stable 1,"Said of a a«Utoade mao, or an opatart who gives biniaell aira.",Wisdom & Advice,"keyword rule: never, said of"
129,"Jhagfd jhdtd, qabtd eaehdtd.","Litigation is wrong, possession is right. I",Poaaaaaion ia nine pointa of the law.,Uncategorised,keyword rule: 
130,"Jie ke hoped tttti, voh hare ihaeil.",Who has oigiity rupees mu laorihoe a goat.,Muhaniuuans sre boiuM -to give in alms xakdt) oue tenth of tksii money.,Nature & Animals,keyword rule: goat
131,Jit he pdi nahin paitdt woh bhald-mducu kaitd t,"If he has no money, can he be a gentleman t","Money makes the gcntlema-,. When Adam delved' and Eve span, where waa then the geutleman f Upstart a churl and gathered good, aud thence did spring his gentlu hlood.",Livelihood & Agriculture,keyword rule: money
132,"JiM ehddar dekho, Mine hi pdod peudm.",Stretch your legs according to your coverlet.,Cotyonr eoaiaooording to your cloth.,Livelihood & Agriculture,keyword rule: cloth
133,"Jogl jugcU jdni nahin, kappe radge to kgd hud 9",If the jogl does not know his business what is the use of his dyeing his clothes 1,A jogl ia a religious mendicant and j»gat is the knowledge or teaching of a jogi. They wear clothes dyed w ith ochre.,Uncategorised,keyword rule: 
134,Jogl hi pit kyd t,What friendship can there be with njof,He is always wandering about,Wisdom & Advice,keyword rule: always
135,Jogl mdre ehXdr hdth.,Who beats ajegi soils his hands with ashes.,To axpreaa that it is unprofitablo to opprean the poor: /opto cover thab bodke with dost and ashes aa a rule.,Livelihood & Agriculture,keyword rule: poor
136,Jo mere to terty kdhe dddt nipofe f,"What 1 have you have, so why do you grin t",Kakedueas is no ahame.,Uncategorised,keyword rule: 
137,Juldhe Ai matkhan tndO bahan te /,The weaver will crack indecent jokes with bis mother and sister 1,Allnsion to the stupidity of the weaver casts.,Livelihood & Agriculture,keyword rule: weaver
138,Kab dddd marenge aur kah hel haigt t,"When will the grandsire die, and when will the funeral gifts be madef",Waiting for the dead man’e ehoee.,Fortune & Fate,"keyword rule: dead, die"
139,"Kab ke banyd, kab he ee f","Teeterday a grooer,to-day a merchant prince 1",Said of en npetart,Wisdom & Advice,keyword rule: said of
140,KnhMar hh&u§ hA «4 hAl hait A AtA Aai ei,"Like a pigeon house, one goes out aud",Sidd oT an eatabliahment in which a large number of aeivante is kept up.,Uncategorised,keyword rule: 
141,"Kaw youth likes crisp cakes, ripe age soft","KlMiths like pepper and salt, and RiAhmans","JParlc'ere more wholeeome than kacAaKri, and /the rest of the proterb i a akit at the Kil and Brthmans.",Livelihood & Agriculture,keyword rule: salt
142,Kahd Rdm Ram t kahd U te f,What connection is there between the wor diip of Crod and idle talk 1,"AUiiaioa here to the talking of siaindt whioh are taught to say Rdm JUm (Qod, Qud",Human Nature & Character,keyword rule: idle
143,"Kaldi kl Oftne chalit logvh ne iatUi, mai",The publican's daughter went to drown herself and the people said she’s drunk.’,To npreis enjoymmifc at other's troubles.,Society & Relationships,keyword rule: daughter
144,KtUo ko dqo Airdg nakld jaltd. Supersti,No lamp will burn before a black snake.,Beoause it is supposed to carry a bright Jewel la its head: proverb means that no thing avails before a powerful tyrant,Nature & Animals,keyword rule: snake
145,Eankhajure A kae pdoA tufed/fef,Can all the feet of a oeatipedebe broken 1,Spoken of one who ia well able to bear a Ices.,Uncategorised,keyword rule: 
146,"Ad par karOd hngdr, pyd mor dddhar t £.","For whom should I deck myself, when my husband is blind t",The blind man’s wife needs no paint.,Society & Relationships,"keyword rule: husband, wife"
147,"Kardf aur kar na jdnd, mat’ll Aol to kor di","She did it, but didn't know how to do it; if I had been there I would have shewn her.",Said of a woman who gats into troubla for a lover in alluvidn to a wall known tola in tha AUtflMM.,Society & Relationships,keyword rule: woman
148,"Kami kkdk ki, bdt Idkh kf.",His deeds as dust; bis speech of thousands.,Words withoat deeds are like a garden fall of weeds.,Uncategorised,keyword rule: 
149,Kami na dJuumlf ndm Oulahyd I,"Nor management, nor arrangement in her, and her name Rosa I","Oulabyd, being a name of good import, as applied to sensible women only.",Society & Relationships,keyword rule: women
150,"Kar ygfH, na muHk pdni /","Nor water on the hands, nor on the face I",Said of a' dirty man.,Nature & Animals,keyword rule: water
151,Kaunot ehakld kd pied khdyd kai f,I At what flour-mill have you eaten t,That you have grown so plump.,Uncategorised,keyword rule: 
152,Khali Itdih kyd jdun f Kk sandeta Ittd jddd.,How can I go empty handed 1 Let me at,Allusion to the natives' trick of never saying straight out wliat they want: to beat about the bush.,Wisdom & Advice,keyword rule: never
153,"Khdne ke ddni eta/r, dikhdne ke aur.",Some teeth to eat with aud some for show.,Said of elephantaf ieetli and tuaka and applied to hypoeritce.,Wisdom & Advice,keyword rule: said of
154,"Khdne ko mmmed, pedkmme ko amawwd.",He eats manned flowers and wears amatowd. I,"Utt atarvas the belly and feeds the back; mewwe flowem contain no nutrition in them,, and ummmmd ineeiiB gaudy clothing.",Uncategorised,keyword rule: 
155,KhH bardnif jam nidm rdjdni. Aprie.,Am unirrigated field la like the gift of a king.,Who i4 a caprioioiw tyrant and hii gift Miiuertaiu': alluaion to the unoartain chaioctar of tha cultivation in India that da paurla ouly on rauifnli.,Livelihood & Agriculture,keyword rule: field
156,"Kkur tkddO, UH ddi ke gMe mad fikddiit","Coughing and coughing, the noree is throttled I",Said to ohOdren.,Wisdom & Advice,keyword rule: said to
157,Kie hdg kl muR hai f,What garden is this radish from I,"An expression of contempt,",Uncategorised,keyword rule: 
158,"KiA n« ye4 hh\ nahiA fAehhd, hi Ure mdnh",Mo one even aska now how many teeth you have in your mouth t,The roads are safe: said of the English Oovemment. Past Brittanica.,Wisdom & Advice,keyword rule: said of
159,Kodak hd hhStkin bhdtak men t mamiyd ids kin,What’a millet among the kinds of grain or a wife’s aunt among mothers- in-law 1,"In India when the wife's mother is dead her uncle’s wife takes her mother’s place, but indillerently.",Society & Relationships,"keyword rule: aunt, mother, uncle, wife"
160,"KaM beehi hoi, ku kd pdad nahM fee/id.","I have sold the well, not its water t",A quarrel on ridiculoua grounds.,Nature & Animals,keyword rule: water
161,"Kuchh to gchud glti, kuchh Jindri 4hltl,",The wheat is somewhat damp and the pin,of the hand mill) is rather loose.,Livelihood & Agriculture,keyword rule: wheat
162,"Kutyd ehorod mil gai, to pahrd iaun de t","If tho dog befriend the thief, who then is to keep watch t",Said of dishonest servants.,Nature & Animals,keyword rule: dog
163,Kutyu he chhindle meA phaAse haiA.,Entai.gled in the mcslios of a lustfnl bitch.,Overwhelmed in uudaservod misery.,Uncategorised,keyword rule: 
164,"Kpd haregd DaMf Jise dh iUe Mould, wills.",What can DaulA do I God gives to whom he,"The qp— oh of a eolobraiod faqtr of tho 17ih ooaturj a. d. aamod Sbsh Douls, to wluMa peopla naod to go to requoot the aoeonnUahiiMBt of tbnr wiahao. Shah DanUa tomb ia in the OujrSt Diatrkt of the Panjib.",Fortune & Fate,keyword rule: god
165,Kpd koelod hi ndo dbjcdgi t,What if the charcoal bt be upset 1,It will bring no gre&t Iom.,Uncategorised,keyword rule: 
166,Eyd nadyl nahdigd our hyd meAersgi t,Chn a naked bather wring out his clothes f,Said of a man of small poaaeeaions.,Wisdom & Advice,keyword rule: said of
167,Kyd sau rupao ki yulfU'i f aur kyd ek befo Id,"What’s hundred rupees for capital, and what is one son for posterity 1",So amall a sum ia aoon spent and an only aon may die.,Fortune & Fate,keyword rule: die
168,"KyoAkar, rd, td utrJ pdr 9 kyoAkar, rd, id chdli",How did you cross the rivor 1 how did you fare on the way? huw did you hud this house 1 and huw did you recognize me 1,"It is said that a woman being disgusted of karhl, which, being considered a luxury a mung natives, was preseuted day after day for her fo..d, went to one of her relations on the otlier side of the river tu avoid it. On her arrival the hospitable relative placed",Nature & Animals,keyword rule: river
169,Ldg le tab l&j kahdh t,"When one is in love, what shame remains 1",All love ' in India is illegitimate.,Human Nature & Character,keyword rule: shame
170,Lul Khdn k\ chuilar lari hog\ to apnd badam,"if Lai KhaiV.s sheet bu large, it will cover hi.sbudy, Imt wliat does that concern met","ill roply tu one, who describes the riches of niiolher.",Uncategorised,keyword rule: 
171,"Ldl, nlclt nir-lmrhnn kah, bank det fan bar.",their h...idH » hundred times. Can you cross A riw r swoIIcmi by the rains by holding oil to a ram’s tail f,Natives give the hand to clench a bargain.,Livelihood & Agriculture,keyword rule: oil
172,"Ldi pyard, (OMM hd khaydt bht ppdrd hau","If jrou lore your lore, you loro hie thoughts.",Lov« m« lore my dog.,Nature & Animals,keyword rule: dog
173,Ldt nUtri jhoj\ ehulhe-iaigdA ealdfn.,He kicks his hut and bids adieu to hia hearth.,Said of nonwuU who have no fixstl abode.,Wisdom & Advice,keyword rule: said of
174,Lenedeneke miinh meA hiidk\ muhabbat biri,Giving and taking are as dust in the mouth;,The miaer'ii inaziiu.,Uncategorised,keyword rule: 
175,"LxpSh Old, mare mold /","I will plaster thee, oM, if a rich man die I","The prayer of the Achtiaj BrShman, who get the rich covering in which the corpse is wrapped, besides other presents. The otd is a small image kept in a corner of tbMe Brahmans houses aa a household god, and is now supposed to be thus add. eased.",Livelihood & Agriculture,keyword rule: rich
176,"Lohd jdne, luh&r jane: dhaunkne-udU ki bald",Let the iron cUre and the smith care; why,"Smiths in Idttia keep a man on fixed wages to blow their bellows, and the point of the pro verb is, that the buaineea is between the iron and the smith, and the bellowe-man has merely to do his own work.",Livelihood & Agriculture,keyword rule: work
177,"Md beCi gdne-vdix, bdp pOt kardti t Worn.","Mother and daughter for singers, and father and eon for weddii prooeeaion 1",A poor maa'a marriage.,Society & Relationships,"keyword rule: daughter, father, marriage, mother"
178,"Md bdtiyok med lofdi had, logod ns jfdnd hair",Mother and daughter quarrel and people think them enemies I,Lover's quarrab: kiss and make up.,Society & Relationships,"keyword rule: daughter, mother"
179,"Moyjah du hanchau purl, dee aehchhd, bhakd",Magsrah is a land of gold with a vile speech I,A skit st the rough dialects of IkdiAi.,Uncategorised,keyword rule: 
180,Maid ne kyd us kl khlr khal hai f,Have I eaten any of his rice and milk 1,Am 1 iiiKler any obligation to him I,Livelihood & Agriculture,keyword rule: rice
181,Man ke taduod ae bhiUc nahid mita.,Hunger i.'i not appeased by imaginary sweets.,The belly is not filled with fair woida,Livelihood & Agriculture,keyword rule: hunger
182,Mattd kgd na kartd f,What will not the dying man do f,The desperate mau all things can.,Uncategorised,keyword rule: 
183,"Mdyd kd kyd j'd, khnl khdnd kanibaf or hd I!",What is the iwe of wealth heaped up l-y living on oil cakes and wcaringa bbiiikei 1,Said of a micter wlio uioruti-. d hiuiaL-'i' i-- bo.ail mouey.)!,Livelihood & Agriculture,"keyword rule: oil, wealth"
184,MdXdge emr eo rahedge /,When we die we sleep well 1,The long sleep.,Fortune & Fate,keyword rule: die
185,"Mu/l kl ddoat meh /aq rol hi joehi hat,",A feast of bread which costa nothing is as,good as) meat.,Livelihood & Agriculture,"keyword rule: bread, feast"
186,Man kgon 1 Sake na dyd. Worn.,Why did she die? For want of breath 1,A misfortune that cannot be avoided.,Fortune & Fate,"keyword rule: die, misfortune"
187,"MMh k/tdHf Mkh /ajdif,","'i'he mouth eats, and the eyes are kept down.","To placa oncaelf under au obligation. MMh ki m’thi, hdih kljhatl. Worn, A sweet tongue and a false hand. To excite falee hopee.",Uncategorised,keyword rule: 
188,Mwtde 1(0 baih-har fote hqiht avr ro/tgdf ho,They mourn for the dead sitting and for food,"They take their ease over mourning for the dei, but are active enough in mourning over loee of means.",Livelihood & Agriculture,keyword rule: food
189,Tha cat’s paw.),1 «eii’\ dauQS bmvse the floor is uneven.,Iban the devil couldn't swiin he laid the fsoH on the water. Bad srarkmen quarrel with tbear took.,Nature & Animals,keyword rule: water
190,Sd/SoM wOdJi to gkOdgat fyd f Worn.,"When you come out to dance, why be veiled?","Danomg woiiion in India are of course on ▼eilad. Moral: dou't be above jour work Jdehi dn jfd nd, “ dngan h&kkrtf Jtdddftnd yet nd, oli IHkre Not knowing bow to dance (he says), ' the",Livelihood & Agriculture,keyword rule: work
191,Nadi kindnrdkkfdjahtah hoe bindi.,Trees on the river bausk are apt to fkll.,Applied to thaso who foUow a dangsrons Utadl TMdjdnd emt paydas dud / To go Ao a river aiud eome back thiraty! Uadi ndo taiog. The union of boat and river.,Nature & Animals,keyword rule: river
192,Nm H hi Odhir.,Evetr body ic a lord at a iMrher'a wedding.,"fUboTt a noUemm, a lord; but need also oe an hemrifie title towards barbers (adi):",Society & Relationships,keyword rule: wedding
193,"ATaf ndpoit, fmapr JMT jAon /","A young snake, with ita hood on its tail I",Applied to eon who fouKehly ongagea in a biwineaB which ha doee nut understand: the allnsion i» to tho oobea whiolt has a hood on ita head.,Nature & Animals,keyword rule: snake
194,A'u! fKiy'iM aur fiddt li weAnml /,A now liarber with bamboo nail-sctasors f,Tlieee sbovld baMstoal or irsa. AppUod to A Irsp in tho dork.,Uncategorised,keyword rule: 
195,Nasha ns ne piyd; Jehumdr tnmhed eharhd /,He drunk the wine; why are you drunk t,Staid to A great man's relatives when they give tbemaelvea aira.,Human Nature & Character,keyword rule: drunk
196,"NMin sikhdve dJi ho, hi bard 4orhe dlh /",She is teaching her grandmother that twelve times one and a half makes eight!,"Go end teach your grandmother to sock Naud dekh le, hddhha bdr. Bhoj. armpit. On seeing a barber he findig hanr under his! Naud he ghar ehori bhel, fin edydgd bdr gel. £.",Livelihood & Agriculture,keyword rule: barber
197,Kaukar ko ehdkart manfai ho utdrd t,A servant to a servant is a shed to a hut 1,The one is as absurd as the other.,Society & Relationships,keyword rule: servant
198,Ufott mahXne mdkepef meA kaise rahd hoga /,Uow came you to live in your molher'e,Said to a misohisvoua boy.,Wisdom & Advice,keyword rule: said to
199,"Hagd cUU, perd par aldo.",The unversed ascetic squats on his haunches.,"Which will soon tire him out: the atu$ sit with their hands on a bairdgam, s klud uf wooden support, whioh euables them to re main in one position for a very long time.",Uncategorised,keyword rule: 
200,"NikH hata j ee, ehali khataq med.",Out of the mouth ie throughout the world.,The eat out of tho bag.,Uncategorised,keyword rule: 
201,"PoeMvd ekaUy khea pkale, Agric.. thrives.","When the west wind bUiws, the harvest","Whan the wind's in the waat, the waathar'a at its beat.",Nature & Animals,keyword rule: wind
202,Padmanl Chamdrod mrd kott hai.,Beauty will occur even amougst the Chamirs.,"Padmanl ia tha taoat baantiful of tha four claaaea into which womankind ia dividad ac eordiug to fenturea and coniplaaioh. Cba mtra are a low ciuita of bluSk ooniplaxion aud ugly faatiiraa oa a rule, ao a podManl amougat them ia a rara avia.",Uncategorised,keyword rule: 
203,"Padni dil na ptihya Idgal, £.",It is uo market without the shameless weiioh.,Proatitutea aiu always to he found at mar kata iu ludia.,Livelihood & Agriculture,keyword rule: market
204,Pd'dsse med ae kyod. nikle parte ho f,Why do you coi«oVt of your breeches t,i. e. why do you' fret and fume so much?,Uncategorised,keyword rule: 
205,"Pddeha mtf, pachdee ihSkur,",For five your friend and for fifty your ruler.,"For five rupees do not quarrel with your friend, nor for fifty with your ruler.",Society & Relationships,keyword rule: friend
206,Pont pl-kar nOt AhU Aof,First drink his water and then ask his oeete I,In India tiw tulM of eaata de not lUow a man of ona aasto to drink wator from tbo hand of a man of aaothor oaate.,Nature & Animals,keyword rule: water
207,Paplpoa he mdrne ho pOp mahd bati.,It is their own sin that chiefly slays sinnets.,He is hie own greeieek enemy.,Uncategorised,keyword rule: 
208,"Parhl na, qaod kl.","Who does not know, cannot fail to pray.",QarS Jmmd ia the sin of failing to pray at the stated times.,Uncategorised,keyword rule: 
209,P§Aa kahlimttdkJo na fora ao /diMfa’ff.Mabt,"The lore of God on those who work, sad the emae of God mi those who won’t.",TbodorUfinda aomo reiaohiof atUl for Idle handa to do.,Fortune & Fate,keyword rule: god
210,PM eHhgh-kar rahUkof,Do you lire on the scent of flowers f,Skid to a amall aater.,Uncategorised,keyword rule: 
211,"PhOAke ke na pkdkkc kc, (ddy wfAd-he idpc kc,","Shell neither blow nor stir the fire, but shell warm her legs at it",Said of the aalfrAkmd idia,Nature & Animals,keyword rule: fire
212,"Pichhti roil khde, ptehhll matdi/. Worn. Supersti",Who eats the last cake will be a fooL,"It ia unlucky among women to aat the last oaka, which ia aeoordiny alwaya thrown ' to doga.",Society & Relationships,keyword rule: women
213,Fir dp hi darmdhdah; tka/dtU hU hi haredgo t,"The saint is himself in distress, for whom shall he mfihe intercession I","He eaeed otheis, himself he eaaaoS saTO. Hethewxeii. 42.",Uncategorised,keyword rule: 
214,"Pdf ttdf sgOna, dM ohao hirdas, Hin. Worn.","When the aon grows up, discomforts depart,",f. a be ia then able to support hia parents.,Uncategorised,keyword rule: 
215,"Pdf mdii paid. Mefdr tm M, K. Worn.",She went to get aeon and toand a hueband.,A out at women going to Afire to proonie •• a vary oommonly done.,Society & Relationships,keyword rule: women
216,Qarmdr dUidA par tavdr.,The creditor sits upon the debtor's breast.,•When be refuaea Um hia money.,Livelihood & Agriculture,keyword rule: money
217,"Qtfil mtbaii weed ndrd,",The Qurs pestle has a string ( for drawers).,"Ac., he can make othera do as he likM howevar improper his ordms may be; native ■ view of idl •government.",Uncategorised,keyword rule: 
218,"Rdthegd pdn, birdehegi medkdt.",If with'love it is betel: with hate it is henna.,Better a dinner of herbs where love ia than a stsllsid ox and hatred therewith. Pin is a valuable and sieAAdl a very cheap article.,Nature & Animals,keyword rule: ox
219,"Rdjd lk he(t, harmoh hi hell /","A princess born, her fate forlorn I",Said of a mwalliance.,Fortune & Fate,keyword rule: fate
